TANGGAL,BULAN,TAHUN,TINGGI MUKA AIR
3,NOV,2019,"5,40"
4,NOV,2019,"4,98"
5,NOV,2019,"4,41"
6,NOV,2019,"5,03"
7,NOV,2019,"4,67"
8,NOV,2019,"3,88"
9,NOV,2019,"3,35"
10,NOV,2019,"3,55"
11,NOV,2019,"4,72"
12,NOV,2019,"4,67"
13,NOV,2019,"4,01"
14,NOV,2019,"4,03"
15,NOV,2019,"5,08"
16,NOV,2019,"4,93"
17,NOV,2019,"4,71"
18,NOV,2019,"4,11"
19,NOV,2019,"3,57"
20,NOV,2019,"3,61"
21,NOV,2019,"3,65"
22,NOV,2019,"3,81"
23,NOV,2019,"4,15"
24,NOV,2019,"4,12"
25,NOV,2019,"3,75"
26,NOV,2019,"4,01"
27,NOV,2019,"5,21"
28,NOV,2019,"4,97"
29,NOV,2019,"5,47"
30,NOV,2019,"6,03"
31,NOV,2019,
1,DES,2019,"6,02"
2,DES,2019,"6,05"
3,DES,2019,"5,81"
4,DES,2019,"5,81"
5,DES,2019,"5,78"
6,DES,2019,"5,21"
7,DES,2019,"4,84"
8,DES,2019,"4,90"
9,DES,2019,"5,45"
10,DES,2019,"5,73"
11,DES,2019,"5,90"
12,DES,2019,"6,58"
13,DES,2019,"7,88"
14,DES,2019,"9,04"
15,DES,2019,"9,65"
16,DES,2019,"9,63"
17,DES,2019,"9,04"
18,DES,2019,"8,46"
19,DES,2019,"7,71"
20,DES,2019,"7,68"
21,DES,2019,"8,52"
22,DES,2019,"8,79"
23,DES,2019,"8,16"
24,DES,2019,"7,62"
25,DES,2019,"7,60"
26,DES,2019,"7,23"
27,DES,2019,"6,41"
28,DES,2019,"5,73"
29,DES,2019,"5,99"
30,DES,2019,"6,37"
31,DES,2019,"5,87"
1,JAN,2018,"7,19"
2,JAN,2018,"7,00"
3,JAN,2018,"8,08"
4,JAN,2018,"8,33"
5,JAN,2018,"8,65"
6,JAN,2018,"8,58"
7,JAN,2018,"8,97"
8,JAN,2018,"9,54"
9,JAN,2018,"9,39"
10,JAN,2018,"8,59"
11,JAN,2018,"7,76"
12,JAN,2018,"7,65"
13,JAN,2018,"8,52"
14,JAN,2018,"9,16"
15,JAN,2018,"9,00"
16,JAN,2018,"8,53"
17,JAN,2018,"8,00"
18,JAN,2018,"7,31"
19,JAN,2018,"6,95"
20,JAN,2018,"6,68"
21,JAN,2018,"6,63"
22,JAN,2018,"6,62"
23,JAN,2018,"6,57"
24,JAN,2018,"6,51"
25,JAN,2018,"7,54"
26,JAN,2018,"8,23"
27,JAN,2018,"8,17"
28,JAN,2018,"7,76"
29,JAN,2018,"7,11"
30,JAN,2018,"6,71"
31,JAN,2018,"6,70"
1,FEB,2018,"6,43"
2,FEB,2018,"6,11"
3,FEB,2018,"5,98"
4,FEB,2018,"5,84"
5,FEB,2018,"5,78"
6,FEB,2018,"6,33"
7,FEB,2018,"8,59"
8,FEB,2018,"9,67"
9,FEB,2018,"9,90"
10,FEB,2018,"9,80"
11,FEB,2018,"9,09"
12,FEB,2018,"8,58"
13,FEB,2018,"8,39"
14,FEB,2018,"8,13"
15,FEB,2018,"7,57"
16,FEB,2018,"7,22"
17,FEB,2018,"6,76"
18,FEB,2018,"6,36"
19,FEB,2018,"6,03"
20,FEB,2018,"6,28"
21,FEB,2018,"6,71"
22,FEB,2018,"6,70"
23,FEB,2018,"6,61"
24,FEB,2018,"6,37"
25,FEB,2018,"6,42"
26,FEB,2018,"7,62"
27,FEB,2018,"7,59"
28,FEB,2018,"7,03"
29,FEB,2018,
30,FEB,2018,
31,FEB,2018,
1,MAR,2018,"6,53"
2,MAR,2018,"6,42"
3,MAR,2018,"6,71"
4,MAR,2018,"6,84"
5,MAR,2018,"6,67"
6,MAR,2018,"6,31"
7,MAR,2018,"6,33"
8,MAR,2018,"6,89"
9,MAR,2018,"7,62"
10,MAR,2018,"7,49"
11,MAR,2018,"7,11"
12,MAR,2018,"6,59"
13,MAR,2018,"5,68"
14,MAR,2018,"4,94"
15,MAR,2018,"5,17"
16,MAR,2018,"5,78"
17,MAR,2018,"6,63"
18,MAR,2018,"7,55"
19,MAR,2018,"7,89"
20,MAR,2018,"7,32"
21,MAR,2018,"6,71"
22,MAR,2018,"6,92"
23,MAR,2018,"7,05"
24,MAR,2018,"6,86"
25,MAR,2018,"6,96"
26,MAR,2018,"6,87"
27,MAR,2018,"7,03"
28,MAR,2018,"7,47"
29,MAR,2018,"8,17"
30,MAR,2018,"8,02"
31,MAR,2018,"7,35"
1,APR,2018,"6,56"
2,APR,2018,"6,06"
3,APR,2018,"5,93"
4,APR,2018,"5,90"
5,APR,2018,"6,42"
6,APR,2018,"6,62"
7,APR,2018,"7,39"
8,APR,2018,"8,75"
9,APR,2018,"8,91"
10,APR,2018,"8,65"
11,APR,2018,"8,55"
12,APR,2018,"8,05"
13,APR,2018,"7,27"
14,APR,2018,"6,76"
15,APR,2018,"6,43"
16,APR,2018,"6,12"
17,APR,2018,"5,82"
18,APR,2018,"6,49"
19,APR,2018,"7,90"
20,APR,2018,"8,73"
21,APR,2018,"8,72"
22,APR,2018,"9,22"
23,APR,2018,"9,63"
24,APR,2018,"9,55"
25,APR,2018,"9,88"
26,APR,2018,"10,30"
27,APR,2018,"10,62"
28,APR,2018,"11,05"
29,APR,2018,"11,12"
30,APR,2018,"10,84"
31,APR,2018,
1,MEI,2018,"10,43"
2,MEI,2018,"9,97"
3,MEI,2018,"9,98"
4,MEI,2018,"9,89"
5,MEI,2018,"9,52"
6,MEI,2018,"9,01"
7,MEI,2018,"8,24"
8,MEI,2018,"7,78"
9,MEI,2018,"8,48"
10,MEI,2018,"8,70"
11,MEI,2018,"8,36"
12,MEI,2018,"7,79"
13,MEI,2018,"8,14"
14,MEI,2018,"8,48"
15,MEI,2018,"8,13"
16,MEI,2018,"7,87"
17,MEI,2018,"7,66"
18,MEI,2018,"7,13"
19,MEI,2018,"7,20"
20,MEI,2018,"7,42"
21,MEI,2018,"7,43"
22,MEI,2018,"7,53"
23,MEI,2018,"7,18"
24,MEI,2018,"6,64"
25,MEI,2018,"6,13"
26,MEI,2018,"5,86"
27,MEI,2018,"5,74"
28,MEI,2018,"5,64"
29,MEI,2018,"5,29"
30,MEI,2018,"5,54"
31,MEI,2018,"5,82"
1,JUNI,2018,"7,53"
2,JUNI,2018,"8,97"
3,JUNI,2018,"8,74"
4,JUNI,2018,"7,56"
5,JUNI,2018,"6,37"
6,JUNI,2018,"5,61"
7,JUNI,2018,"5,13"
8,JUNI,2018,"5,27"
9,JUNI,2018,"5,27"
10,JUNI,2018,"4,96"
11,JUNI,2018,"5,93"
12,JUNI,2018,"5,94"
13,JUNI,2018,"5,23"
14,JUNI,2018,"4,82"
15,JUNI,2018,"4,88"
16,JUNI,2018,"4,96"
17,JUNI,2018,"4,91"
18,JUNI,2018,"5,05"
19,JUNI,2018,"4,52"
20,JUNI,2018,"4,67"
21,JUNI,2018,"6,40"
22,JUNI,2018,"7,27"
23,JUNI,2018,"8,03"
24,JUNI,2018,"8,00"
25,JUNI,2018,"8,05"
26,JUNI,2018,"7,76"
27,JUNI,2018,"8,18"
28,JUNI,2018,"9,05"
29,JUNI,2018,"8,99"
